X Coordinate (km),Y Coordinate (km),Measured Depth (m),Deviation (deg),Abandoned (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Cumulative GAS Prod. (e3m3),Month Well Spudded,Classification,Emission Rate (m3/day)
595.6,599.2,2347.2,,True,53.6,177.8,32683.6,0.0,Serious,60.01750665073159
524.6,377.2,995.4,,True,25.3,139.7,32683.5,0.0,Serious,56.628873608419106
589.7,594.7,2025.6,32.11381038621092,True,48.1,177.8,32683.6,290.0,Non Serious,44.48236156616712
537.2,425.7,1098.8,,True,,114.3,32683.5,0.0,Non Serious,36.00362503053287
336.2,406.4,3283.2,45.2014607120081,True,,139.7,32683.7,761.6,Serious,56.12903426409939
526.1,100.1,467.5,,True,35.7,139.7,,0.0,Non Serious,47.548828224333356
573.6,165.7,1391.9,30.667376335954145,True,81.1,244.5,32683.5,373.0,Serious,60.82349825715335
597.9,524.4,627.3,,True,67.7,177.8,32683.5,0.0,Serious,58.62230793146993
587.5,725.8,1564.6,,False,25.3,114.3,,0.0,Non Serious,44.42584174002382
602.9,542.3,1088.1,,True,48.1,177.8,,396.0,Serious,51.66074635440074
518.1,654.9,,1.5658885258155022,False,25.3,114.3,,0.0,Non Serious,49.871097151235645
496.4,475.6,1660.0,,True,,114.3,32683.5,0.0,Serious,51.280627534440086
568.5,479.2,,,False,,114.3,32683.3,0.0,Non Serious,32.91386894166587
594.3,529.3,2308.2,45.11320522896632,True,48.1,177.8,32683.5,0.0,Non Serious,39.52831851314491
427.2,377.6,707.2,9.874016567020757,True,35.7,114.3,32683.6,408.0,Serious,63.27697129042485
173.9,542.5,651.0,38.619623606651146,True,53.6,139.7,32683.5,0.0,Serious,53.24236738526102
181.9,515.3,837.9,,True,35.7,139.7,,0.0,Non Serious,49.308540343874434
414.1,177.7,1645.0,33.10060527997864,False,53.6,139.7,32683.5,416.0,Serious,65.86683546442087
411.1,537.1,,30.3690399413002,True,35.7,139.7,32683.6,0.0,Serious,58.49755057662657
611.2,528.3,3633.5,56.104354487831,True,48.1,177.8,32683.7,0.0,Serious,60.72511804365233
368.6,461.7,1911.8,39.224419734891015,True,35.7,139.7,32683.7,572.1,Serious,53.03545270956844
613.0,458.1,431.4,,False,35.7,139.7,32683.3,0.0,Non Serious,45.59755161244357
598.3,532.8,781.1,,True,,177.8,,0.0,Non Serious,46.79177989025528
86.3,1169.3,1765.0,27.886472307227415,False,48.1,177.8,32683.5,0.0,Non Serious,42.22602774147645
499.1,83.7,1497.8,,True,,114.3,32683.5,0.0,Serious,53.22783970325227
427.5,408.1,618.6,,True,35.7,139.7,32683.5,370.0,Serious,53.24571074898343
470.9,113.4,,,False,35.7,114.3,32683.5,0.0,Non Serious,43.75915247666545
381.0,590.3,3071.4,22.131749208966426,True,,114.3,32683.7,565.1,Serious,60.54188667016861
387.8,197.6,,,False,35.7,139.7,32683.6,0.0,Non Serious,44.89849481708254
296.1,348.5,,,False,,177.8,,0.0,Non Serious,47.811031893162415
459.9,630.6,717.0,,True,25.3,114.3,32683.6,334.0,Serious,65.89518107925387
633.2,537.9,601.0,,False,53.6,177.8,32683.3,82.5,Non Serious,38.541927630782816
42.6,701.2,814.8,60.544233271809,False,48.1,177.8,32683.7,0.0,Non Serious,49.836289791641335
16.2,658.1,515.0,,False,53.6,139.7,,95.0,Non Serious,39.42433783076412
233.5,587.0,,,False,53.6,177.8,,0.0,Non Serious,47.331175020363325
505.3,526.4,400.0,,True,25.3,114.3,,89.9,Non Serious,35.03326957085289
503.8,524.1,3765.5,33.49005976214002,True,25.3,114.3,32683.6,0.0,Serious,57.322873091996996
471.2,96.9,2004.0,,True,25.3,114.3,32683.7,0.0,Serious,54.91203670595694
600.5,537.9,,,True,48.1,177.8,32683.6,0.0,Serious,52.30864366630672
592.0,468.5,660.2,,True,35.7,139.7,,0.0,Non Serious,41.33410022293191
366.4,573.1,581.0,,False,35.7,139.7,32683.6,297.7,Non Serious,43.723156245754396
535.2,221.1,3158.8,48.606711717941515,False,,139.7,32683.7,777.0,Serious,54.52976552764083
530.6,392.5,1391.9,,True,35.7,139.7,,128.0,Non Serious,46.82062395625604
611.8,29.0,1221.0,,True,35.7,139.7,32683.5,396.0,Serious,51.31096232489152
467.0,139.6,394.9,,True,35.7,139.7,,137.1,Non Serious,47.60785669525335
548.6,326.6,,,False,,88.9,,0.0,Non Serious,39.27301007273627
598.8,523.6,,67.40471532175489,True,48.7,177.8,32683.6,593.9,Serious,53.39378004398897
553.8,441.7,1150.0,,True,35.7,139.7,32683.5,388.1,Serious,50.07365809503286
603.0,456.9,1071.8,,False,48.7,177.8,,378.0,Serious,53.01999047511043
145.4,1147.6,662.9,,False,53.6,177.8,32683.5,261.9,Non Serious,49.244319222926194
532.7,493.8,3282.6,,True,25.3,114.3,32683.6,797.1,Serious,56.7557183660631
390.1,423.8,,19.6342201084492,True,35.7,139.7,,0.0,Serious,54.67668526116681
598.8,764.6,670.8,,True,35.7,114.3,32683.5,0.0,Non Serious,40.401229294073055
113.6,648.9,,,True,35.7,139.7,,0.0,Non Serious,43.61239580373534
525.0,416.3,646.0,,False,,114.3,32683.5,294.0,Non Serious,41.94845358204673
423.6,287.3,,,True,,139.7,32683.5,0.0,Non Serious,42.082683608105675
588.1,511.9,890.6,,True,53.6,177.8,32683.5,334.6,Serious,71.97092443874483
643.0,155.9,485.3,,False,,114.3,,213.8,Non Serious,36.84328274148171
608.4,617.6,165.2,,True,25.3,114.3,,46.9,Non Serious,41.75437887081939
637.8,526.1,,3.0536377439234323,False,48.1,177.8,32683.6,0.0,Serious,50.66180114397516
519.6,227.2,1670.1,38.15423880329992,False,25.3,114.3,32683.6,201.5,Non Serious,48.30255088374341
520.7,387.2,622.8,,False,35.7,139.7,,131.9,Non Serious,26.44835790331996
175.3,1053.6,2883.9,29.099999758844106,True,25.3,114.3,32683.6,0.0,Serious,56.77923143411647
609.8,342.2,1994.5,,True,,114.3,32683.6,425.2,Serious,63.37358542752625
509.1,355.1,1078.1,13.327047333928705,False,35.7,114.3,32683.5,0.0,Non Serious,36.34918923711104
296.2,474.7,2796.2,22.006327215557107,True,,139.7,32683.6,588.8,Serious,50.43508153895795
419.5,814.5,598.0,,False,48.1,177.8,,0.0,Non Serious,21.845050883311163
411.4,543.1,760.3,,True,35.7,114.3,32683.5,0.0,Non Serious,43.444679726797716
442.1,675.8,,,True,35.7,139.7,32683.5,0.0,Non Serious,44.764640539320155
541.6,148.1,1742.0,,True,35.7,139.7,32683.5,520.8,Serious,59.96093517864202
626.8,369.5,1354.9,31.164735007509783,False,48.1,139.7,32683.5,442.0,Serious,53.54176059235675
175.1,786.1,3164.9,19.09238535896936,True,,114.3,32683.7,0.0,Serious,54.614548189071805
